start_time,memory_rss,memory_vms,cpu_percent
01/09/2024 14:38:56,377536512,474173440,43.8
01/09/2024 14:38:57,373641216,473645056,81.2
01/09/2024 14:38:58,376729600,475394048,107.9
01/09/2024 14:38:59,377282560,476205056,71.8
01/09/2024 14:39:00,413237248,514658304,55.4
01/09/2024 14:39:01,387117056,485523456,17.2
01/09/2024 14:39:02,383995904,482369536,28.1
01/09/2024 14:39:03,385073152,483577856,10.9
01/09/2024 14:39:04,383406080,481488896,42.2
01/09/2024 14:39:05,384602112,483074048,70.3
01/09/2024 14:39:06,386510848,484638720,143.8
01/09/2024 14:39:07,377638912,476229632,75.4
01/09/2024 14:39:08,378519552,477143040,111.0
01/09/2024 14:39:09,393584640,491327488,143.7
01/09/2024 14:39:10,377847808,475574272,104.7
01/09/2024 14:39:11,389861376,488177664,134.3
01/09/2024 14:39:12,398946304,497111040,93.8
01/09/2024 14:39:13,384913408,482922496,157.9
01/09/2024 14:39:14,381181952,479248384,207.7
01/09/2024 14:39:15,403410944,501612544,62.5
01/09/2024 14:39:16,394489856,492445696,10.9
01/09/2024 14:39:17,388943872,487129088,0.0
01/09/2024 14:39:18,388972544,487129088,103.1
01/09/2024 14:39:19,390602752,488169472,103.1
01/09/2024 14:39:20,390230016,488177664,96.9
01/09/2024 14:39:21,415010816,500330496,87.5
01/09/2024 14:39:22,380276736,478199808,107.7
01/09/2024 14:39:23,398143488,495529984,89.1
01/09/2024 14:39:24,407654400,500850688,192.1
01/09/2024 14:39:25,399929344,497176576,184.3
01/09/2024 14:39:26,381501440,478801920,28.1
01/09/2024 14:39:27,387825664,485097472,59.3
01/09/2024 14:39:28,381059072,478797824,89.1
01/09/2024 14:39:29,379125760,477220864,95.4
01/09/2024 14:39:30,391065600,488779776,106.2
01/09/2024 14:39:31,389328896,486670336,103.1
01/09/2024 14:39:32,407486464,505487360,184.5
01/09/2024 14:39:33,378695680,476180480,81.2
01/09/2024 14:39:34,387149824,484564992,39.1
01/09/2024 14:39:35,384987136,481964032,112.5
01/09/2024 14:39:36,410296320,508227584,151.6
01/09/2024 14:39:37,399745024,497217536,92.1
01/09/2024 14:39:38,401399808,498753536,164.1
01/09/2024 14:39:39,385044480,482476032,95.3
01/09/2024 14:39:40,379396096,476696576,175.1
01/09/2024 14:39:41,421937152,507760640,134.4
01/09/2024 14:39:42,382636032,480899072,114.1
01/09/2024 14:39:43,420052992,512753664,109.4
01/09/2024 14:39:44,399204352,496939008,153.8
01/09/2024 14:39:45,387952640,485281792,101.5
01/09/2024 14:39:46,418680832,529494016,51.6
01/09/2024 14:39:47,389652480,487657472,0.0
01/09/2024 14:39:48,392253440,490278912,42.2
01/09/2024 14:39:49,389361664,486854656,10.9
01/09/2024 14:39:50,400711680,498401280,41.5
01/09/2024 14:39:51,388251648,485990400,81.2
01/09/2024 14:39:52,381734912,479772672,101.6
01/09/2024 14:39:53,387940352,484683776,151.6
01/09/2024 14:39:54,396455936,491814912,142.1
01/09/2024 14:39:55,412250112,507686912,176.6
01/09/2024 14:39:56,406573056,500781056,187.4
01/09/2024 14:39:57,400568320,501755904,193.8
01/09/2024 14:39:58,423682048,521994240,140.0
01/09/2024 14:39:59,428589056,526557184,193.8
01/09/2024 14:40:00,427515904,524099584,212.4
01/09/2024 14:40:01,410497024,513277952,143.8
01/09/2024 14:40:02,422162432,524832768,23.4
01/09/2024 14:40:03,431046656,533241856,151.6
01/09/2024 14:40:04,428941312,531144704,146.2
01/09/2024 14:40:05,413323264,515899392,212.6
01/09/2024 14:40:06,457580544,560308224,193.6
01/09/2024 14:40:07,421150720,523251712,153.2
01/09/2024 14:40:08,451809280,546443264,99.9
01/09/2024 14:40:09,414568448,515522560,109.4
01/09/2024 14:40:10,446701568,546562048,215.4
01/09/2024 14:40:11,425369600,524808192,159.4
01/09/2024 14:40:12,421978112,521695232,51.6
01/09/2024 14:40:13,417968128,517648384,3.1
01/09/2024 14:40:14,421425152,521318400,0.0
01/09/2024 14:40:15,421453824,521318400,0.0
01/09/2024 14:40:16,421523456,521318400,0.0
01/09/2024 14:40:17,421376000,510734336,64.1
01/09/2024 14:40:18,425345024,515469312,65.7
01/09/2024 14:40:19,417427456,507076608,0.0
01/09/2024 14:40:20,417554432,507076608,54.7
01/09/2024 14:40:21,430886912,520708096,116.9
01/09/2024 14:40:22,421072896,510812160,143.7
01/09/2024 14:40:23,451067904,528678912,182.9
01/09/2024 14:40:24,444801024,534278144,201.6
01/09/2024 14:40:25,440623104,530214912,228.0
01/09/2024 14:40:26,451153920,537604096,165.7
01/09/2024 14:40:27,427450368,516534272,178.0
01/09/2024 14:40:28,460468224,557297664,160.0
01/09/2024 14:40:29,422957056,519884800,7.8
01/09/2024 14:40:30,428507136,525651968,0.0
01/09/2024 14:40:31,428531712,525651968,98.4
01/09/2024 14:40:32,425934848,522506240,132.9
01/09/2024 14:40:33,425447424,521981952,157.7
01/09/2024 14:40:34,427204608,523915264,116.9
01/09/2024 14:40:35,431235072,528273408,0.0
01/09/2024 14:40:36,431316992,528273408,0.0
01/09/2024 14:40:37,431349760,528273408,0.0
01/09/2024 14:40:38,431374336,528273408,0.0
01/09/2024 14:40:39,431398912,528273408,0.0
01/09/2024 14:40:40,431099904,515567616,0.0
01/09/2024 14:40:41,431136768,515567616,0.0
01/09/2024 14:40:42,431161344,515567616,0.0
01/09/2024 14:40:43,431243264,516091904,0.0
01/09/2024 14:40:44,431288320,516091904,0.0
01/09/2024 14:40:45,431312896,516091904,0.0
01/09/2024 14:40:46,431337472,516091904,0.0
01/09/2024 14:40:47,431362048,516091904,0.0
01/09/2024 14:40:48,431386624,516091904,0.0
01/09/2024 14:40:49,431419392,516091904,1.6
01/09/2024 14:40:50,431517696,517148672,21.9
01/09/2024 14:40:51,429383680,515063808,37.5
01/09/2024 14:40:52,423833600,510353408,31.2
01/09/2024 14:40:53,431648768,518209536,161.0
01/09/2024 14:40:54,433295360,521379840,111.0
01/09/2024 14:40:55,438296576,526630912,95.4
01/09/2024 14:40:56,434880512,522960896,128.2
01/09/2024 14:40:57,426467328,514551808,78.1
01/09/2024 14:40:58,431255552,519815168,146.9
01/09/2024 14:40:59,470945792,554782720,236.0
01/09/2024 14:41:00,435470336,524533760,98.4
01/09/2024 14:41:01,443559936,532041728,182.9
01/09/2024 14:41:02,448417792,535265280,142.1
01/09/2024 14:41:03,431124480,519430144,176.5
01/09/2024 14:41:04,425594880,513921024,159.4
01/09/2024 14:41:05,442347520,530993152,204.8
01/09/2024 14:41:06,443174912,537604096,152.3
